#	Type	Area(m²)	Azimuth(°)	Altitude(°)	SVF(-)	GVF(-)
76(76):97	Wall	69.4632	0.377411	0	0.275616	0.275501
76(76):98	Wall	98.2024	90.9108	0	0.372185	0.372275
76(76):99	Wall	41.1474	2.06589	0	0.0702005	0.070211
76(76):100	Wall	41.2293	91.6475	0	0.186836	0.187846
76(76):101	Wall	130.706	180.909	0	0.282301	0.282118
76(76):102	Wall	250.958	90.7946	0	0.498865	0.498891
76(76):103	Wall	329.95	0.587952	0	0.5	0.5
76(76):104	Wall	15.7602	270.378	0	0.325984	0.326461
76(76):105	Wall	148.07	0.846863	0	0.49601	0.49601
76(76):83	Roof	1852.41	0	90	0.999982	0
72(72):108	Wall	121.405	275.462	0	0.5	0.5
72(72):109	Wall	146.574	185.368	0	0.287253	0.467969
72(72):110	Wall	17.3495	95.676	0	0.295336	0.426704
72(72):111	Wall	20.1912	185.553	0	0.344778	0.443764
72(72):112	Wall	86.7067	95.3751	0	0.378002	0.485973
72(72):113	Wall	23.3792	4.8468	0	0.436932	0.462343
72(72):114	Wall	17.3496	95.676	0	0.401073	0.437058
72(72):115	Wall	143.386	5.47922	0	0.479614	0.498241
72(72):107	Roof	2612	0	90	0.988662	0
71(71):118	Wall	390.913	275.817	0	0.460247	0.448526
71(71):119	Wall	64.8515	186.823	0	0.322266	0.32202
71(71):120	Wall	174.71	272.632	0	0.436089	0.425818
71(71):121	Wall	896.363	184.571	0	0.499142	0.499142
71(71):122	Wall	223.076	96.3802	0	0.291645	0.291646
71(71):123	Wall	215.196	6.68948	0	0.0690975	0.0690976
71(71):124	Wall	73.0615	95.7668	0	0.0985933	0.0980711
71(71):125	Wall	329.067	180.382	0	0.146072	0.146124
71(71):126	Wall	36.2058	221.147	0	0.275129	0.276456
71(71):127	Wall	140.432	185.583	0	0.280061	0.280062
71(71):128	Wall	427.254	275.538	0	0.33399	0.333989
71(71):129	Wall	681.042	185.13	0	0.5	0.5
71(71):130	Wall	346.599	94.92	0	0.499987	0.498446
71(71):131	Wall	54.5595	56.817	0	0.446217	0.445274
71(71):132	Wall	243.408	96.8507	0	0.490545	0.489049
71(71):133	Wall	28.7936	180.382	0	0.313149	0.314309
71(71):134	Wall	271.956	95.2988	0	0.499848	0.498176
71(71):135	Wall	29.8379	29.5619	0	0.339359	0.33876
71(71):136	Wall	176.493	108.955	0	0.489423	0.487575
71(71):137	Wall	290.268	5.05365	0	0.495729	0.494726
71(71):138	Wall	64.1768	277.747	0	0.292179	0.293179
71(71):139	Wall	122.083	2.08936	0	0.415183	0.414778
71(71):140	Wall	23.6403	90.3828	0	0.248939	0.260303
71(71):141	Wall	158.723	353.803	0	0.491406	0.491015
71(71):142	Wall	56.7604	333.733	0	0.462388	0.462414
71(71):143	Wall	369.974	4.89288	0	0.491833	0.490934
71(71):144	Wall	203.908	6.01233	0	0.493024	0.492447
71(71):145	Wall	87.407	299.479	0	0.378615	0.379655
71(71):146	Wall	288.398	3.63593	0	0.476639	0.476657
71(71):147	Wall	359.524	5.89755	0	0.487766	0.487763
71(71):148	Wall	149.519	274.59	0	0.43866	0.428682
71(71):149	Wall	73.37	277.899	0	0.341389	0.330606
71(71):150	Wall	66.0391	5.1214	0	0.289182	0.290547
71(71):117	Roof	5926.11	0	90	0.999975	0
63(63):153	Wall	66.9031	275.087	0	0.275345	0.311969
